standort;monat;gemessene_fahrzeuge;verstoesse;gueltige_verstoesse;verwarnungen;bussgelder;weniger_11;11_15;16_20;21_25;26_30;31_40;41_50;51_60;61_70;mehr_70;max_geschwindigkeit;einnahmen;quelle
Laube;April;31824;23;14;14;0;14;0;0;0;0;0;0;0;0;0;60;210;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Mai;41194;36;28;28;0;19;7;2;0;0;0;0;0;0;0;67;530;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Juni;11646;6;5;5;0;4;1;0;0;0;0;0;0;0;0;62;85;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Juli;87014;59;45;43;2;31;7;5;1;0;1;0;0;0;0;82;1055;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;August;169116;120;99;99;0;81;11;7;0;0;0;0;0;0;0;68;1735;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;September;117762;83;66;64;2;55;6;3;1;1;0;0;0;0;0;79;1260;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Oktober;46815;24;14;13;1;11;2;0;1;0;0;0;0;0;0;72;295;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;November;63193;29;20;20;0;15;3;2;0;0;0;0;0;0;0;66;370;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;Dezember;58590;32;29;27;2;19;6;2;1;1;0;0;0;0;0;77;685;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Laube;gesamt;1270227;919;759;742;17;598;104;40;11;2;4;0;0;0;0;85;14690;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Januar;95752;187;160;159;1;141;15;3;1;0;0;0;0;0;0;52;2675;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Februar;39193;83;62;62;0;52;10;0;0;0;0;0;0;0;0;44;1030;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Maerz;79133;113;86;86;0;79;7;0;0;0;0;0;0;0;0;44;1360;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;April;40446;53;41;41;0;38;2;1;0;0;0;0;0;0;0;46;655;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Mai;2588;7;4;4;0;4;0;0;0;0;0;0;0;0;0;37;60;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Juni;75485;84;50;50;0;41;9;0;0;0;0;0;0;0;0;44;840;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Juli;62464;83;43;43;0;36;6;1;0;0;0;0;0;0;0;46;725;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;August;57892;99;63;63;0;58;4;1;0;0;0;0;0;0;0;49;1005;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;September;57967;64;43;43;0;37;6;0;0;0;0;0;0;0;0;46;725;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Oktober;23136;25;20;20;0;19;1;0;0;0;0;0;0;0;0;42;310;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;November;37863;61;43;43;0;37;6;0;0;0;0;0;0;0;0;45;705;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;Dezember;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Gartenstr;gesamt;571919;860;615;614;1;541;66;7;1;0;0;0;0;0;0;52;10090;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
Steinstr;Januar;50337;680;637;631;6;473;129;29;5;1;0;0;0;0;0;58;11835;Stadt Konstanz, Bürgeramt, Abt. Verkehrswesen
